Unix Time,Env,Experiment,Step,Value
1734399929.4847043,LBF,exp_1,0,0.0
1734399979.9276168,LBF,exp_1,1,0.0
1734400029.909772,LBF,exp_1,2,0.0
1734400079.5917082,LBF,exp_1,3,0.0
1734400127.7236238,LBF,exp_1,4,0.0
1734400175.704524,LBF,exp_1,5,0.0
1734400222.683449,LBF,exp_1,6,0.0
1734400272.0971138,LBF,exp_1,7,0.0
1734400320.0620441,LBF,exp_1,8,0.0
1734400369.6771321,LBF,exp_1,9,0.0
1734400419.6688335,LBF,exp_1,10,0.0
1734400466.7200246,LBF,exp_1,11,1.0
1734400515.157185,LBF,exp_1,12,1.0
1734400564.191423,LBF,exp_1,13,2.0
1734400611.9692767,LBF,exp_1,14,0.0
1734400658.414982,LBF,exp_1,15,3.0
1734400703.3226619,LBF,exp_1,16,0.0
1734400749.4847658,LBF,exp_1,17,1.0
1734400796.445297,LBF,exp_1,18,1.0
1734400844.0732193,LBF,exp_1,19,2.0
1734400892.0074177,LBF,exp_1,20,2.0
1734400939.2729156,LBF,exp_1,21,0.6666666666666666
1734400986.604422,LBF,exp_1,22,2.0
1734401033.5666203,LBF,exp_1,23,0.0
1734401080.8039868,LBF,exp_1,24,1.0
1734401128.2712054,LBF,exp_1,25,2.0
1734401174.0026107,LBF,exp_1,26,2.0
1734401222.1629193,LBF,exp_1,27,3.0
1734401268.1275406,LBF,exp_1,28,1.0
1734401314.3871696,LBF,exp_1,29,0.0
1734401359.9063675,LBF,exp_1,30,2.0
1734401406.1341207,LBF,exp_1,31,3.0
1734401451.699062,LBF,exp_1,32,1.0
1734401496.9240904,LBF,exp_1,33,1.0
1734401543.4179022,LBF,exp_1,34,2.6666666666666665
1734401587.6021092,LBF,exp_1,35,2.0
1734401632.3038895,LBF,exp_1,36,2.6666666666666665
1734401677.917344,LBF,exp_1,37,2.0
1734401722.2609074,LBF,exp_1,38,0.0
1734401767.3954682,LBF,exp_1,39,1.0
1734401812.696522,LBF,exp_1,40,2.6666666666666665
1734401859.4484875,LBF,exp_2,0,0.0
1734401905.5228927,LBF,exp_2,1,0.0
1734401952.1519828,LBF,exp_2,2,0.0
1734401997.9472382,LBF,exp_2,3,0.0
1734402045.4866126,LBF,exp_2,4,0.0
1734402093.378186,LBF,exp_2,5,0.0
1734402141.6021688,LBF,exp_2,6,0.0
1734402189.5461218,LBF,exp_2,7,0.0
1734402238.968418,LBF,exp_2,8,1.0
1734402286.715769,LBF,exp_2,9,0.0
1734402332.6089835,LBF,exp_2,10,1.0
1734402379.6486187,LBF,exp_2,11,0.0
1734402426.6351233,LBF,exp_2,12,0.0
1734402474.8350768,LBF,exp_2,13,1.0
1734402521.7790525,LBF,exp_2,14,0.0
1734402569.6946158,LBF,exp_2,15,1.0
1734402617.9705067,LBF,exp_2,16,0.0
1734402665.0765054,LBF,exp_2,17,1.0
1734402711.8852181,LBF,exp_2,18,1.0
1734402759.0973063,LBF,exp_2,19,1.0
1734402804.4398375,LBF,exp_2,20,0.0
1734402849.3413053,LBF,exp_2,21,1.0
1734402896.2020574,LBF,exp_2,22,2.0
1734402942.4220617,LBF,exp_2,23,0.0
1734402989.6345932,LBF,exp_2,24,1.0
1734403033.744615,LBF,exp_2,25,1.0
1734403082.2731946,LBF,exp_2,26,2.0
1734403128.1562054,LBF,exp_2,27,2.0
1734403174.248883,LBF,exp_2,28,2.3333333333333335
1734403222.197361,LBF,exp_2,29,2.0
1734403269.4054368,LBF,exp_2,30,2.0
1734403316.4178877,LBF,exp_2,31,1.0
1734403364.0126395,LBF,exp_2,32,0.0
1734403408.8367293,LBF,exp_2,33,1.0
1734403455.6150541,LBF,exp_2,34,2.3333333333333335
1734403505.0463796,LBF,exp_2,35,0.0
1734403549.454615,LBF,exp_2,36,0.0
1734403592.8470948,LBF,exp_2,37,2.0
1734403638.9881446,LBF,exp_2,38,2.3333333333333335
1734403684.8427532,LBF,exp_2,39,2.3333333333333335
1734403727.5040302,LBF,exp_2,40,3.0
1734403773.1045816,LBF,exp_3,0,0.0
1734403820.267562,LBF,exp_3,1,0.0
1734403868.106958,LBF,exp_3,2,0.0
1734403915.7879074,LBF,exp_3,3,0.0
1734403962.8941157,LBF,exp_3,4,0.0
1734404011.3958495,LBF,exp_3,5,0.0
1734404061.4960523,LBF,exp_3,6,0.0
1734404108.211911,LBF,exp_3,7,0.0
1734404155.3980072,LBF,exp_3,8,0.0
1734404201.4911208,LBF,exp_3,9,0.0
1734404247.5981376,LBF,exp_3,10,0.0
1734404294.564777,LBF,exp_3,11,0.0
1734404340.1977642,LBF,exp_3,12,0.0
1734404388.0568728,LBF,exp_3,13,1.0
1734404439.491921,LBF,exp_3,14,1.0
1734404487.4218507,LBF,exp_3,15,1.0
1734404532.913093,LBF,exp_3,16,1.0
1734404579.3826818,LBF,exp_3,17,1.0
1734404625.7694838,LBF,exp_3,18,0.0
1734404674.1903217,LBF,exp_3,19,1.0
1734404721.4292588,LBF,exp_3,20,2.0
1734404767.7914648,LBF,exp_3,21,2.0
1734404814.596695,LBF,exp_3,22,1.0
1734404860.9844677,LBF,exp_3,23,2.0
1734404904.9278378,LBF,exp_3,24,3.0
1734404951.0922663,LBF,exp_3,25,2.0
1734404997.2580628,LBF,exp_3,26,0.0
1734405041.365654,LBF,exp_3,27,3.0
1734405088.568494,LBF,exp_3,28,1.0
1734405133.7545428,LBF,exp_3,29,4.333333333333333
1734405177.784582,LBF,exp_3,30,2.3333333333333335
1734405223.434199,LBF,exp_3,31,2.0
1734405268.984994,LBF,exp_3,32,3.0
1734405314.476406,LBF,exp_3,33,2.0
1734405360.6692667,LBF,exp_3,34,2.0
1734405406.0035005,LBF,exp_3,35,1.0
1734405450.5205133,LBF,exp_3,36,0.0
1734405496.2741199,LBF,exp_3,37,2.0
1734405541.8027563,LBF,exp_3,38,1.3333333333333333
1734405587.3151746,LBF,exp_3,39,1.6666666666666667
1734405631.809097,LBF,exp_3,40,2.0
1734405678.1010847,LBF,exp_4,0,0.0
1734405724.6872053,LBF,exp_4,1,0.0
1734405771.2675254,LBF,exp_4,2,0.0
1734405820.054123,LBF,exp_4,3,0.0
1734405867.9926474,LBF,exp_4,4,0.0
