Unix Time,Env,Experiment,Step,Value
1734399892.8463774,LBF,exp_1,0,0.0
1734399942.7258837,LBF,exp_1,1,0.0
1734399992.1904247,LBF,exp_1,2,0.0
1734400041.943913,LBF,exp_1,3,0.0
1734400092.4597118,LBF,exp_1,4,0.0
1734400139.159364,LBF,exp_1,5,0.0
1734400187.4916267,LBF,exp_1,6,0.0
1734400235.2811768,LBF,exp_1,7,0.0
1734400283.3981364,LBF,exp_1,8,0.0
1734400332.937177,LBF,exp_1,9,0.0
1734400380.600318,LBF,exp_1,10,1.0
1734400430.8694248,LBF,exp_1,11,1.0
1734400478.2584362,LBF,exp_1,12,1.0
1734400528.0211496,LBF,exp_1,13,2.0
1734400575.931801,LBF,exp_1,14,1.0
1734400624.9960778,LBF,exp_1,15,2.0
1734400669.5933323,LBF,exp_1,16,2.0
1734400714.7832136,LBF,exp_1,17,1.0
1734400761.065878,LBF,exp_1,18,1.0
1734400807.6730793,LBF,exp_1,19,1.0
1734400856.0459926,LBF,exp_1,20,1.0
1734400902.9942803,LBF,exp_1,21,1.0
1734400950.5318139,LBF,exp_1,22,0.0
1734400998.024919,LBF,exp_1,23,0.0
1734401044.7700725,LBF,exp_1,24,1.0
1734401092.7011611,LBF,exp_1,25,1.0
1734401139.7966247,LBF,exp_1,26,1.0
1734401186.047812,LBF,exp_1,27,1.0
1734401233.5331802,LBF,exp_1,28,2.0
1734401280.107373,LBF,exp_1,29,1.0
1734401326.1790042,LBF,exp_1,30,1.0
1734401371.8476799,LBF,exp_1,31,0.0
1734401416.927756,LBF,exp_1,32,2.0
1734401462.7885666,LBF,exp_1,33,1.0
1734401508.9205558,LBF,exp_1,34,1.0
1734401554.574168,LBF,exp_1,35,1.3333333333333333
1734401598.5912747,LBF,exp_1,36,2.0
1734401643.1050751,LBF,exp_1,37,2.0
1734401689.0766432,LBF,exp_1,38,2.0
1734401732.9839406,LBF,exp_1,39,2.0
1734401779.2576902,LBF,exp_1,40,0.0
1734401823.7747004,LBF,exp_2,0,0.0
1734401871.5923393,LBF,exp_2,1,0.0
1734401917.8497887,LBF,exp_2,2,0.0
1734401963.4121494,LBF,exp_2,3,0.0
1734402009.047365,LBF,exp_2,4,0.0
1734402056.6281257,LBF,exp_2,5,0.0
1734402104.4462247,LBF,exp_2,6,0.0
1734402153.9010327,LBF,exp_2,7,0.0
1734402201.9060214,LBF,exp_2,8,0.0
1734402251.2277455,LBF,exp_2,9,1.0
1734402298.1282234,LBF,exp_2,10,0.0
1734402344.6128745,LBF,exp_2,11,0.0
1734402392.5116723,LBF,exp_2,12,0.0
1734402438.617991,LBF,exp_2,13,0.0
1734402487.2775717,LBF,exp_2,14,1.3333333333333333
1734402534.5487225,LBF,exp_2,15,0.0
1734402582.6019,LBF,exp_2,16,0.0
1734402630.9433362,LBF,exp_2,17,1.0
1734402677.6928887,LBF,exp_2,18,0.0
1734402723.0903854,LBF,exp_2,19,1.0
1734402770.8811839,LBF,exp_2,20,0.0
1734402816.043345,LBF,exp_2,21,1.0
1734402861.2841456,LBF,exp_2,22,2.6666666666666665
1734402907.4704301,LBF,exp_2,23,1.0
1734402953.8743753,LBF,exp_2,24,1.0
1734403000.9232159,LBF,exp_2,25,1.0
1734403045.6528609,LBF,exp_2,26,1.0
1734403093.5229776,LBF,exp_2,27,1.0
1734403139.4530277,LBF,exp_2,28,2.0
1734403186.2178583,LBF,exp_2,29,1.0
1734403233.6159596,LBF,exp_2,30,0.0
1734403281.2575655,LBF,exp_2,31,1.0
1734403328.5692623,LBF,exp_2,32,0.0
1734403375.7140129,LBF,exp_2,33,1.0
1734403420.6044283,LBF,exp_2,34,0.0
1734403467.1459756,LBF,exp_2,35,1.0
1734403516.0240815,LBF,exp_2,36,2.0
1734403560.6271489,LBF,exp_2,37,0.0
1734403604.5485692,LBF,exp_2,38,0.0
1734403650.9748013,LBF,exp_2,39,1.0
1734403695.7959125,LBF,exp_2,40,2.0
1734403738.3154378,LBF,exp_3,0,0.0
1734403785.309046,LBF,exp_3,1,0.0
1734403832.2894332,LBF,exp_3,2,0.0
1734403879.7346716,LBF,exp_3,3,0.0
1734403927.8476512,LBF,exp_3,4,1.0
1734403975.6700118,LBF,exp_3,5,0.0
1734404023.9077878,LBF,exp_3,6,0.0
1734404073.562658,LBF,exp_3,7,0.0
1734404120.1061428,LBF,exp_3,8,1.0
1734404166.484633,LBF,exp_3,9,0.0
1734404212.2969036,LBF,exp_3,10,0.0
1734404259.6189911,LBF,exp_3,11,0.0
1734404305.4239273,LBF,exp_3,12,0.0
1734404352.3316011,LBF,exp_3,13,0.0
1734404403.717629,LBF,exp_3,14,0.0
1734404451.8468144,LBF,exp_3,15,1.0
1734404498.2039452,LBF,exp_3,16,1.0
1734404543.9985201,LBF,exp_3,17,0.0
1734404590.9270992,LBF,exp_3,18,1.0
1734404639.0292804,LBF,exp_3,19,1.0
1734404685.5500486,LBF,exp_3,20,2.0
1734404732.685662,LBF,exp_3,21,1.0
1734404779.773941,LBF,exp_3,22,1.0
1734404826.8764143,LBF,exp_3,23,0.0
1734404871.9602711,LBF,exp_3,24,2.0
1734404916.3180985,LBF,exp_3,25,1.0
1734404962.7177038,LBF,exp_3,26,1.0
1734405008.1513784,LBF,exp_3,27,2.0
1734405053.4624853,LBF,exp_3,28,2.0
1734405099.7763684,LBF,exp_3,29,1.0
1734405144.9284797,LBF,exp_3,30,1.0
1734405189.3843427,LBF,exp_3,31,0.0
1734405235.028204,LBF,exp_3,32,1.3333333333333333
1734405280.1428041,LBF,exp_3,33,1.0
1734405325.6250815,LBF,exp_3,34,2.0
1734405371.7189639,LBF,exp_3,35,2.0
1734405417.1741211,LBF,exp_3,36,2.0
1734405462.2247274,LBF,exp_3,37,0.0
1734405507.2932708,LBF,exp_3,38,0.0
1734405553.277968,LBF,exp_3,39,0.0
1734405598.6663604,LBF,exp_3,40,2.0
1734405642.4498239,LBF,exp_4,0,0.0
1734405689.2777965,LBF,exp_4,1,0.0
1734405735.8950849,LBF,exp_4,2,0.0
1734405783.95951,LBF,exp_4,3,0.0
1734405831.1580243,LBF,exp_4,4,0.0
1734405880.6795547,LBF,exp_4,5,0.0
1734405927.889037,LBF,exp_4,6,0.0
1734405977.367945,LBF,exp_4,7,0.0
1734406024.4021192,LBF,exp_4,8,0.0
