Unix Time,Env,Experiment,Step,Value
1734399917.2147927,LBF,exp_1,0,0.0
1734399967.373917,LBF,exp_1,1,0.0
1734400016.8683524,LBF,exp_1,2,0.0
1734400066.9714627,LBF,exp_1,3,0.0
1734400114.5222795,LBF,exp_1,4,0.0
1734400162.8706722,LBF,exp_1,5,0.0
1734400210.9277527,LBF,exp_1,6,0.0
1734400259.6878898,LBF,exp_1,7,0.0
1734400306.6448345,LBF,exp_1,8,0.0
1734400357.1793127,LBF,exp_1,9,0.0
1734400406.23449,LBF,exp_1,10,0.0
1734400454.5016909,LBF,exp_1,11,0.0
1734400501.8730485,LBF,exp_1,12,0.0
1734400551.437158,LBF,exp_1,13,0.0
1734400600.5439339,LBF,exp_1,14,0.0
1734400647.3895977,LBF,exp_1,15,1.0
1734400691.7886643,LBF,exp_1,16,0.0
1734400736.7555466,LBF,exp_1,17,0.0
1734400783.4995773,LBF,exp_1,18,0.0
1734400831.855482,LBF,exp_1,19,2.0
1734400880.1132972,LBF,exp_1,20,0.0
1734400926.1673837,LBF,exp_1,21,0.0
1734400974.1352713,LBF,exp_1,22,2.6666666666666665
1734401021.9571676,LBF,exp_1,23,1.0
1734401069.4766853,LBF,exp_1,24,1.0
1734401116.3288128,LBF,exp_1,25,0.0
1734401161.8900898,LBF,exp_1,26,1.0
1734401210.2577267,LBF,exp_1,27,0.0
1734401256.7300951,LBF,exp_1,28,0.0
1734401302.862352,LBF,exp_1,29,1.0
1734401348.8727853,LBF,exp_1,30,2.0
1734401395.2618775,LBF,exp_1,31,2.0
1734401439.8341513,LBF,exp_1,32,2.0
1734401485.829418,LBF,exp_1,33,1.0
1734401531.2747972,LBF,exp_1,34,2.0
1734401576.4308784,LBF,exp_1,35,2.0
1734401620.9864495,LBF,exp_1,36,2.0
1734401666.6778958,LBF,exp_1,37,1.0
1734401711.1342168,LBF,exp_1,38,1.0
1734401755.6799707,LBF,exp_1,39,2.6666666666666665
1734401801.7407706,LBF,exp_1,40,1.0
1734401848.1866443,LBF,exp_2,0,0.0
1734401893.4721687,LBF,exp_2,1,0.0
1734401940.588153,LBF,exp_2,2,0.0
1734401986.6719205,LBF,exp_2,3,0.0
1734402032.9762475,LBF,exp_2,4,0.0
1734402080.6698732,LBF,exp_2,5,0.0
1734402128.5244474,LBF,exp_2,6,0.0
1734402177.1766484,LBF,exp_2,7,0.0
1734402225.708418,LBF,exp_2,8,0.0
1734402274.464518,LBF,exp_2,9,0.0
1734402320.8268688,LBF,exp_2,10,0.0
1734402367.4290905,LBF,exp_2,11,1.0
1734402415.259076,LBF,exp_2,12,1.0
1734402463.1029854,LBF,exp_2,13,1.0
1734402510.158504,LBF,exp_2,14,1.0
1734402558.526492,LBF,exp_2,15,1.0
1734402606.4803836,LBF,exp_2,16,1.0
1734402653.8038735,LBF,exp_2,17,1.0
1734402700.972975,LBF,exp_2,18,0.0
1734402746.8833075,LBF,exp_2,19,0.0
1734402793.199326,LBF,exp_2,20,2.0
1734402838.4034803,LBF,exp_2,21,1.0
1734402884.1861873,LBF,exp_2,22,2.0
1734402931.0145156,LBF,exp_2,23,0.0
1734402978.0800817,LBF,exp_2,24,0.0
1734403022.8917148,LBF,exp_2,25,1.0
1734403070.2795634,LBF,exp_2,26,0.0
1734403116.600963,LBF,exp_2,27,2.0
1734403162.7812803,LBF,exp_2,28,0.0
1734403210.4559548,LBF,exp_2,29,0.0
1734403257.2175863,LBF,exp_2,30,1.0
1734403304.3396728,LBF,exp_2,31,1.0
1734403350.914101,LBF,exp_2,32,2.0
1734403397.230332,LBF,exp_2,33,0.0
1734403444.0877564,LBF,exp_2,34,0.0
1734403490.890889,LBF,exp_2,35,0.0
1734403537.4405494,LBF,exp_2,36,3.0
1734403582.1091552,LBF,exp_2,37,0.0
1734403627.992438,LBF,exp_2,38,1.0
1734403673.8679764,LBF,exp_2,39,1.0
1734403717.055508,LBF,exp_2,40,1.0
1734403760.867798,LBF,exp_3,0,0.0
1734403808.8503847,LBF,exp_3,1,0.0
1734403855.851731,LBF,exp_3,2,0.0
1734403902.7852297,LBF,exp_3,3,0.0
1734403950.5444887,LBF,exp_3,4,0.0
1734403999.2359843,LBF,exp_3,5,0.0
1734404049.1142275,LBF,exp_3,6,0.0
1734404095.9576087,LBF,exp_3,7,1.0
1734404143.9106388,LBF,exp_3,8,0.0
1734404190.3247461,LBF,exp_3,9,0.0
1734404236.4488254,LBF,exp_3,10,0.0
1734404282.2270327,LBF,exp_3,11,1.0
1734404328.86942,LBF,exp_3,12,0.0
1734404376.7181804,LBF,exp_3,13,1.0
1734404427.7227368,LBF,exp_3,14,0.0
1734404476.2444715,LBF,exp_3,15,1.0
1734404521.048196,LBF,exp_3,16,0.0
1734404567.9368298,LBF,exp_3,17,1.0
1734404613.2988226,LBF,exp_3,18,1.0
1734404662.500368,LBF,exp_3,19,1.0
1734404708.627836,LBF,exp_3,20,1.0
1734404755.739511,LBF,exp_3,21,1.0
1734404802.778459,LBF,exp_3,22,1.0
1734404849.9960842,LBF,exp_3,23,0.0
1734404893.919122,LBF,exp_3,24,1.0
1734404939.0279267,LBF,exp_3,25,1.0
